text,label
i headaches migraines i difficulties sleeping my entire body shaking twitching sometimes i become lightheaded,21
ive suffering chills tiredness cough recently ive sweating tremendously feeling overall unwell weak ive also thick black phlegm my chest aches heart racing,8
i often feel want urinate experience intense desires i often feel dizzy confused i also lost sight,23
ive got high fever cant seem catch breath ive sweating profusely generally feeling ill weak ive also quite thick black phlegm my chest aches heart racing rapidly,8
i trouble breathing especially exercising im flushed sweating unexpected way i yeast infections lot,23
i constipation belly pain really uncomfortable the belly pain getting worse starting affect daily life moreover i get chills every night followed mild fever,2
i dealing back pain cough wont go away weakness arms legs my neck hurts i problems dizziness maintaining balance,15
ive experiencing lot bowel movement issues recently its difficult go hurts i my anus quite painful bleeding whenever i go its really painful im really uncomfortable,9
i frequently get scratchy voice painful throat i wake i bad breath continual sore throat i also vomit lot,20
ive throwing experiencing intense itching along losing weight im also really exhausted my skin become yellow fever really high ive stomach pain pee black,16
im feeling bloated uneasy because ive losing weight i longer like eating i occasionally get tarry black stools blood vomit,22
ive losing weight experiencing nausea itching exhaustion my skin become yellow i severe fever i dark urine ive stomach pain,16
ive losing appetite trouble swallowing my nose running i sore throat,19
i high fever really weak my face gotten sores the blisters itchy painful a yellow ooze frequently leaks wounds,4
my mouth throat dry additionally ive growing increasingly hungry however i get periodic bouts exhaustion,23
ive intense aches chest headache wont go away ive feeling dizzy unsteady,13
along severe body itchiness chills nausea ive experiencing ive severely perspiring high fever im feeling queasy also headache really hurting muscles,17
since days ago ive experiencing low temperatures bloody urination my head excruciating pain urine smells awful i hardly control i urinate impulses come suddenly,18
the rash legs spreading becoming severe it become difficult run,1
my legs causing lot discomforts i exercise i get frequent cramps blood vessels become quite noticeable,1
ive feeling scratchy sick worn i also high fever lost weight both skin urine become yellow additional stomach pain ive,16
i developed minor rash near nose days ago now rash accompanied burning sensation redness skin i feel kind infection,4
the rash skin worse winter months air dry i find i moisturize frequently use humidifiers keep skin hydrated,0
ive experiencing lot problems bowel motions recently its difficult go hurts i my anus quite painful bleeding whenever i go its excruciatingly painful im quite uneasy,9
i struggle focus emotional swings at times head seems cloudy foggy making challenging even simple tasks,23
there rashes skin itch i touch i ’ feel good joints pain whole day at night i mild fever get chills i ’ sleep,5
im problems breathing high fever im perspiring lot experiencing extreme fatigue chilly my heart racing im coughing brownish mucus,8
i struggling back pain cough wont go away weakness extremities my neck hurts i problems dizziness losing balance,15
when i fever i feel quite woozy lightheaded my heart pounding head absolutely foggy my ability think properly impaired everything appears somewhat blurry,21
i woke morning feeling fine day went i started experiencing headache chest pain dizziness its hard focus concentrate work since,13
i increased thirst frequent urination i often dry mouth throat recently i increased hunger appetite,23
i struggling acid reflux indigestion headaches well blurred distorted vision excessive hunger sore neck depression irritability visual disturbance,14
i frequently heartburn indigestion particularly consuming spicy fatty foods when i lie stoop chest discomfort worsens my chest hurts quite bit,20
ive feeling really weak muscles neck really stiff my joints swelling hard move around without feeling stiff walking really painful,10
ive recently dealing itching rash skin its covered pusfilled pimples blackheads my skin also quite sensitive,11
i lose weight unintentionally find challenging acquire weight i use antacids ease pain discomfort i experience my mouth feels horrible,22
recently ive experiencing lot acne breakouts pimples contain pus ive also struggling blackheads,11
along distorted eyesight excessive appetite painful neck anxiety irritability regular headaches i also battling acid reflux indigestion regular headaches,14
ive suffering significant joint pain makes difficult walk carry everyday tasks ive also lost appetite makes feel weak feel like vomitting,5
ive losing appetite i also trouble swallowing my nose running i sore throat,19
a days ago i experienced tiny rash around nose the rash accompanied burning feeling skin redness discharge fluid i believe sort infection,4
ive experiencing chills feeling worn i cant seem get rid cough when i cough chest aches heart feels like beating million miles per hour im coughing nasty rustcolored phlegm,8
i experiencing joint pain fingers wrists knees the pain often achy throbbing gets worse i move joints,0
the skin around mouth nose eyes red inflamed it often itchy uncomfortable there noticeable inflammation nails,0
doctor i really itchy rash skin weird spots different color there also bumps skin look like little knots,6
i longer want sex difficult i regularly brain fog sense confusion,21
lately ive experiencing constipation pain bowel movements pain anus my stool also really bloody anus really irritated,9
in addition recurrent headaches blurred vision increased appetite stiff neck sadness irritability visual disturbance i stomach problems including indigestion acidity,14
i initially rashes face near nose but rash spreading arms legs,4
i quite queasy dizzy i temperature my brain completely cloudy heart racing im trouble thinking straight everything seems little fuzzy,21
ive seen sudden peeling skin various regions body mostly arms legs back in addition i significant joint pain skin rashes the rash spreading different parts body,0
i frequent need urinate often uncontrollable urges i feel dizzy often confused i also loss visuals,23
i cant stop sneezing im exhausted sick my throat really uncomfortable lot junk nose throat my neck also swollen puffy,7
ive feeling extremely scratchy sick worn in addition ive lost weight temperature my urine dark skin turned yellow additionally i experiencing stomach pain,16
back pain dry cough lack muscle strength bothering my neck hurts ive feeling lightheaded shaky,15
week suffering continious health issues like dry cough problems breathing weakness throughout day,12
ive lot trouble going bathroom lately its really painful i theres blood stool ive also pain irritation around anus,9
along excessive appetite stiff neck headaches indigestion acid reflux ive also experiencing sadness impatience visual distortion,14
my muscles feeling feeble recently neck rock solid my joints become swollen making difficult move walking quite uncomfortable well,10
im mood eat swallowing difficult i often lingering feeling fullness even little meals my typical symptoms include heartburn nausea throat tingling,20
i red watery eyes time my sinuses also bothered constant tightness my breathing quite tough ive feeling worn time my lymph nodes irritated i also lot throat mucous,7
i experiencing severe headache accompanied pain behind eyes i lost apetite experience chills every night,5
i experiencing high fever chills every night it really concerning moreover i ’ feel like eating anything back arms legs pain lot there strange pain behing eyes i ’ physical activities,5
i red inflammatory skin around mouth nose eyes it frequently irritating unpleasant recently got painful,0
there rashy areas skin really irritating additionally i bumps fairly firm patches different colour rest skin,6
i awoke morning see horrible rash skin there several blackheads pimples loaded pus my skin also scurrying,11
my joints experiencing unusual discomfort additionally ive experienced weird skin peeling various places body im concerned something wrong body,0
ive experiencing lot itching accompanied rash appears growing worse time there also certain areas skin different colours rest ive spotted several lumps resemble little nodes,6
ive persistent headache past week getting worse its accompanied belly aches constipation diarrhea,2
i struggling back pain productive cough weakness muscles my neck sore i problems dizziness unsteady balance,15
the skin around veins legs red inflamed i believe i see swollen blood vessels i really worried,1
my neck extremely tight muscles feeling extremely weak it difficult move around without becoming stiff due swollen joints walking also extremely uncomfortable,10
i noticed skin rash face it made blistering sore today i observed yellow colored fluid coming sores i sure,4
the abdominal pain frequent really painful constipation vomiting also occurred im quite worried health,2
i urinating blood i occasionally feel queasy urinating i frequently almost fever time,18
my hairs texture significantly changed im experiencing hair loss my scalp dry itching dandruff becoming worse my skin also becoming really dry,21
i trouble falling staying asleep stomach ache after using restroom i feel drained lose appetite i constantly feel really anxious,22
i noticed bruises legs i explain they painful concerning,1
my pee frequently odd smell either red black the frequent changes body temperature usually keep awake night,18
along eyesight problems increased appetite sore neck melancholy irritability regular headaches i also experiencing acid reflux indigestion frequent migraines my regular activities made challenging symptoms causing great deal distress,14
along excessive appetite stiff neck depression impatience visual disturbance ive also indigestion headaches blurred vision acid reflux,14
i recently experienced severe skin rash blackheads pimples filled pus clogging additionally skin quite irritated,11
i put lot weight obese i different urges different appetites,21
i frequently indigestion heartburn especially eating spicy fatty foods my chest hurts i lean forward im lying additionally chest hurts lot,20
my skin breaking terrible rash lately blackheads pusfilled pimples abound additionally skin scurring lot,11
my skin developed revolting rash there pusfilled pimples blackheads everywhere my skin also really sensitive,11
im hard time breathing i feel really uncomfortable im sweating lot theres lot phlegm throat my chest hurts heart beating fast the mucus im coughing brownish,8
even i dont anything acidic stomach i constantly sour taste mouth i frequently hiccups lump throat,20
i lot itching skin sometimes gets really red bumpy there also patches different colors rest skin sometimes i get little bumps look like little balls its really annoying itchy,6
i mild temperature blood pee my head hurts almost constantly i frequently experience severe involuntary desires urinate additionally ive experiencing lower back ache,18
i experiencing really intense itching body along redness bumps skin there also weird patches different colors rest skin sometimes i get nodules look like small bumps,6
extreme itchiness sickness exhaustion plaguing in addition i developed fever lost weight my pee black ive developed yellow rash additionally ive stomach ache,16
my throat mouth dry ive also feeling hungry hungry but sometimes i feel quite exhausted,23
my muscles quite weak neck really stiff my joints swollen making difficult walk without feeling stiff walking also really uncomfortable,10
ive feeling scratchy sick worn i also high fever lost weight both skin urine become yellow additional stomach pain ive,16
i experiencing acidity indigestion headaches blurred distorted vision well excessive hunger stiff neck depression irritability visual disturbance,14
frequent urges urinate little output pain urination cloudy bloody urine strong foulsmelling urine pelvic pain low fever nausea vomiting,18
the skin calves become inflamed red my legs hurt i try run physical activities,1
in add frequent headaches blurred vision increased appetite stiff neck anxiety irritability visual disturbance i stomach problems including indigestion acidity,14
walking tough cramps calves obesity i believe cause after working im exhausted,1
ive experiencing severe body itchiness chills vomiting i really high fever ive perspiring lot i also feel queasy headache my muscles excruciating discomfort,17
ive cough thats lingering days difficulty breathing my fever skyhigh im feeling weak tired ive also producing lot mucus i cough overwhelming deal symptoms im getting frustrated,12
my nose extremely runny i cant seem stop sneezing in addition i constantly feel cold exhausted ive coughing lot my fever also really high far normal,7
ive frequent strong sudden urges urinate i occasionally urinate blood stench horrible what ought i i think im infected,18
i developed skin rash covers entire body the rash red swollen worse certain areas arms legs i also lost appetite,5
i cant seem get enough air im sweating lot i dont feel well theres lot phlegm throat my chest hurts heart racing the mucus im coughing reddish color,8
my hunger appetite persistent ravenous periodically stomach may cramp spasm after eating i bloating gas makes quite uncomfortable,22
ive quite exhausted ill i sneezing lot trouble warming im exhausted head hurts and i feel like i boiling high temperature,7
i cant seem catch breath im sweating lot i feel really sick lot phlegm throat my chest hurts heart racing the mucus im coughing yellowish,8
in addition feeling dizzy lightheaded ive problems keeping equilibrium my capacity concentrate focus also slipping ive noticed,13
ive experiencing stiffness weakness neck muscles recently since joints grown hard walk without getting stiff additionally walking extremely uncomfortable,10
ive difficulty using restroom its difficult go aches i my anus quite painful bleeding whenever i go its excruciatingly painful im quite uneasy,9
my tongue also changes taste scent leaving metallic aftertaste excruciating joint muscle pain,21
my arms face small lymph nodes starting swell my day made really miserable constant itching pain,3
my monthly cycle changed ive unexpected vaginal discharge i occasionally lose temper moods change lot,21
ive getting chills feeling tired i cant seem shake cough my chest aches heart feels like racing million miles per hour i cough im coughing foul rusty phlegm,8
ive lot trouble sleeping high fever headache chills i wake every day terrible pain belly area,2
my nose always feels stuffy congested eyes always red itching i feeling unwell fatigued i keep hacking gunk i scratchy irritated throat ive seen necks bumps larger usual,7
a rash developed around nose lips huge red lesions painful emit yellow rustcolored fluid,4
i feeling depressed irritable noticed change vision,14
doctor couple days able brethe propelry lying bed due high fever lot mucus gets please suggest medicines,12
i discovered huge rash skin yesterday my face covered blackheads pusfilled pimples skin crawling lot,11
ive experiencing lot problems bowel motions recently its difficult go hurts i my anus quite painful bleeding whenever i go its excruciatingly painful im quite uneasy,9
i experiencing acidity indigestion meals well frequent headaches blurred vision,14
the skin rash i developed accompanied redness swelling i ’ feel well i severe fever accompanied body pain,5
ive recently suffering constipation digestive discomfort my anus quite painful bleeding whenever i go its excruciatingly painful im quite uneasy,9
ive ongoing health problems week including dry cough breathing difficulties general weakness,12
ive quite itchy recently i rashy places body there also regions dont appear typical hue skin ive experienced firm lumps,6
i feeling lightheaded unsteady feet also noticed decline ability focus concentrate,13
ive developed severe rash skin its clogged pusfilled pimples blackheads my skin also quite sensitive,11
recently ive lot discomfort difficulty using restroom additionally ive noticed anus quite sore stool bloody,9
my arms neck large lymph nodes itch i touch the itching made day extremely uncomfortable,3
i experiencing constipation stomach ache the discomfort gotten worse seriously interfering everyday life i feel like i lost appetite eat anything,2
im drinking water urinating frequently my throat mouth frequently dry recently appetite hunger grown,23
ive facing visual disruptions seeing things distorted eyesight difficulties,14
i woke morning find i terrible rash body blackheads pusfilled pimples place additionally skin changing lot,11
the skin calves itchy inflamed causing lot discomfort difficulty sleeping night the blood vessels started protrude concerning,1
back pain chronic cough muscle weakness bothering i concerns dizziness losing position neck hurts,15
ive high temperature vomiting chills intense itching i also headache perspiring lot my discomfort also brought nausea muscle ache,17
ive battling back pain dry cough limb weakness ive feeling dizzy unstable feet neck hurts,15
ive trouble sleeping itching pain produced rash my nails little dents really alarming there noticeable inflammation nails,0
my muscles area unit quite weak neck terribly stiff my joints swollen making hard behalf maine steer regarding whereas feeling stiff walking put together terribly uncomfortable,10
the itching making hard sleep night i cant seem get rest rash itchy uncomfortable im feeling really tired exhausted,3
im feeling quite ill i high fever headache rashes appeared arms face im quite concerned i saw red sores around nose lips today,4
all body itching like crazy red areas additionally patches different tone natural skin and skin lumps pimples developed,6
i lot difficulty breathing i dont feel well im perspiring lot my chest hurts i lot mucus throat im trouble breathing phlegm im coughing strange hue,8
ive experiencing lot itching skin sometimes turns rash there also strange patches skin different color rest sometimes i get little bumps look like nodules,6
my skin really itchy rashy spots there also patches look different color rest skin ive bumps kind hard,6
i feeling extremely tired fatigued i energy anything the fatigue severe i struggle get bed i noticed small red spots arms legs,5
ive low temps blood urine past three days my pee smells terrible head hurts much urinary urges seldom occur cue i almost never control,18
my legs skin around veins unusual there appears large bruise nowadays i get frequent cramps i sprint run,1
ive constipated really hard go bathroom when i go hurts stool bloody ive also pain butt anus really itchy irritated,9
i dont feel like eating swallowing challenging even little meals i frequently get lingering sensation fullness my normal symptoms include nausea heartburn tingling throat,20
i constantly go bathroom relieve cant seem empty bladder i get strong uncontrollable urges pee sometimes get dark bloody pee,18
pain typically coughing cough numbness arms legs plaguing in addition neck hurts ive trouble staying balanced without getting woozy,15
i occasionally urinate blood feel little queasy help i also occasionally get horrible pee odours excessive overnight temps,18
feeling extremely exhausted persistent cough its hard catch breath fever high ive also producing lot mucus i cough,12
ive feeling extremely scratchy sick worn in addition ive lost weight temperature my urine dark skin turned yellow additionally ive stomach pain,16
back discomfort persistent cough weakness limbs bothering i issues vertigo losing equilibrium neck hurts,15
when i first experienced headache chest pain lightheadedness i work since challenging focus concentrate work,13
the veins legs cause lot discomforts i sit long periods time,1
back ache chronic cough limb weakness bothering i troubles disorientation balance loss neck hurts,15
along excessive appetite stiff neck depression impatience visual disturbance ive also indigestion headaches blurred vision acid reflux these symptoms bothering interfering usual activities,14
i woke morning found i really nasty rash skin there ton blackheads pimples filled pus my skin also really scurrying,11
along change taste smell tongue also metallic aftertaste occasionally get severe joint muscular pain,21
chest pain severe nausea present recently chest hurting i tremble lot quite anxious,21
ive rash skin looks like dischromic patches i also lot nodular eruptions really bad itching during previous week become worse,6
i high fever accompanied severe headache body pain i experince chills every night there distinct pain behind eyes,5
i stomach cramps nausea diarrhea my throat swollen i difficulty breathing sometimes night night i get chest pain nauseous,19
i get sour taste mouth time even nothing acidic stomach i often get hiccups lump throat,20
doctor my skin covered uncomfortable rash along odd patches different hue my skin also pimples resemble little knots,6
ive experiencing severe muscular weakness neck really stiff i swollen joints find difficult move without becoming stiff it also really uncomfortable walk,10
there sores face mostly near nose lips the sores causing discomfort pain discharge yellow rustcolored fluid,4
ive experiencing severe weariness sickly sensation my throat really painful ive fairly severe cough my nose quite stuffy ive significant sinus pressure im really miserable extremely exhausted,7
my cheeks nose covered red sores ive observed rash neck chest spreading faster i also developing mild fever,4
i feeling itchy vomiting i also fatigued lost weight my fever high skin become yellow my urine dark i abdominal pain,16
my bowel motions really difficult recently going difficult aches i when i go anus bleeds really uncomfortable im lot discomfort hurts extremely bad,9
i feeling hungry time sore neck well problems vision,14
recently skin quite itchy i rash body my skin also spots hue altered lumps knotlike pimples,6
occasionally throughout day night i burning upper abdomen i get indigestion heartburn frequent bouts extreme nausea,22
im shedding hair texture hair changed significantly my dry itchy scalp dandruff becoming worse my skin also becoming pretty dry,21
ive periodic coughing fits terrible back pain limb weakness ive feeling neck pain well dizzy unstable sensation,15
i pain bladder getting,18
my mouth filled acidic sour flavour burping belching frequent for hours upper abdomen felt pressured full,22
the rashes face healing i tried medications helping much recently i noticed small sores near nose they painful difficult handle,4
i experiencing intense back pain dry cough lack strength limbs my neck hurts i feeling dizzy unsteady feet,15
my skin horrible rash absolutely nonheritable blackheads pusfilled pimples abound in addition skin quite sensitive,11
recently calves cramping frequently especially i walking standing long periods time also veins noticeable,1
i noticed blood vessels legs getting noticeable usual it little concerning moreover i experiencing cramps every day,1
lately experiencing muscle weakness stiff neck swelling joints stiffness i attempt move around also painful steer,10
my palms soles grown developed severe fissures these cracks unpleasant frequently bleed also skin starting peel,0
im suffering intense itching chills vomiting high fever ive also sweating lot headache nausea muscle pain also bothering,17
i awoke morning see i horrible rash skin there several blackheads pimples loaded pus my skin also scurrying,11
ive coughing lot feeling incredibly chilly exhausted i pretty high fever difficult breathe ive perspiring lot generally feeling weak ill ive quite thick black phlegm,8
im saturated sweat struggling breathe my throat blocked mucous im uncomfortable my heart racing chest aches im coughing darkish stringy mucous,8
i experiencing muscle pain makes difficult move around i lost apetite feel vomiting my legs back pain lot,5
i suffering high fever last couple days sores developing near nose the sores painful i feeling uncomfortable days,4
ive struggling really nasty rash skin lately its covered blackheads pimples packed pus my skin also really scurrying,11
ive constantly feeling scratchy sick tired in addition ive lost weight temperature my urine dark skin turned yellow furthermore i experiencing stomach pain,16
this morning i woke i discovered extremely bad rash skin there several pusfilled pimples blackheads around my skin also moving around lot,11
ive wheezing lot generally feeling sick exhausted my throat feels really scratchy lot gross stuff flowing nose my neck also feels bloated,7
ive itchy throwing along losing weight im also really exhausted my skin turned yellow fever high additionally i get stomach ache dark urine,16
the cramps calves making difficult walk daily activities they come suddenly last several minutes,1
the cramps calves becoming frequent intense making difficult walk daily activities,1
ive experiencing stiffness weakness neck muscles recently since joints grownup heavy behalf pine tree state run whereas getting stiff additionally walking terribly uncomfortable,10
the veins legs causing discomfort difficulty sleeping night they swollen protruding skin making noticeable painful,1
ive lot trouble going bathroom lately really painful ive also noticed stool bloody anus really irritated,9
i stomach ache keeps falling staying asleep after using restroom i feel worn lose interest food im constantly pretty anxious,22
ive struggling fatigue constant cough thats making difficult breathe my fever high ive coughing lot thick mucoid sputum,12
my entire body trembling shaky ive lost ability taste smell im worn i sometimes get racing heart palpitations,23
my rashes occasionally cause skin peel im susceptible illnesses result i start tremble sometimes hands start shake,21
i experiencing acidity indigestion headaches well blurred distorted vision excessive hunger stiff neck depression irritability visual disturbance,14
lately ive experiencing chills fatigue cough high fever difficulty breathing ive sweating lot feeling really sick weak ive also phlegm thats really thick dark,8
ive unhealthy rash skin latterly its filled pusfilled pimples blackheads my skin additionally scurring heaps,11
my desire sex dropped im trouble sex i frequently get brain fog well feeling somewhat bewildered,21
in addition experiencing change taste fragrance i also metallic aftertaste tongue occasionally get excruciating joint muscular pain,21
i cant stop sneezing nose really runny im also really cold tired time ive coughing lot my fever really high like way normal,7
the high fever swollen lymph nodes headache causing lot trouble i dont feel like eating anything feel weak fatigued its hard concentrate daily life,3
ive really hard time going bathroom lately its really painful i try go anus hurts lot theres also blood stool anus really itchy,9
i woke today find i major rash body there lots pimples filled pus blackheads everywhere skin scurrying lot,11
the skin palms soles thickened deep cracks these cracks painful bleed easily,0
i itchy skin lots red bumps arms legs there weird looking spots skin and sometimes bumps feel kind hard,6
ive suffering symptoms including headache chest pain dizziness losing balance trouble concentrating,13
ive chills feeling exhausted i cant seem shake cough my chest hurts i cough heart feels like going million miles hour the phlegm im coughing dirty rust color,8
im shaking trembling ive lost sense taste smell im exhausted i occasionally get palpitations speeding heart,23
i always get sour taste mouth even i dont anything acidic stomach i regularly hiccups knot throat,20
i experiencing decrease sex drive difficulty fucntion sexually i feel light headed confused often experince brain fog,21
ive lost lot weight past week i havent able eat much due nausea vomiting this followed mild fever headache belly pain im really concerned health,2
my muscles feeling rather weak lately neck really strong my joints swollen making challenging move it also excruciatingly difficult walk,10
ive lot sleepiness cough refuses go away breathing difficulty ive coughing lot thick mucoid saliva high fever,12
the veins legs causing discomfort difficulty sleeping night i idea happening i get cramps i sprint,1
i experiencing chills shivering there strong pain back also behind eyes i also noticed small red spots back neck,5
i itching body rashes chest back i get flaky skin time time often leaves marks body,21
small red sores appeared near nose neck first i high temperature sores gotten painful inflamed recent days,4
the rash face become painful inflamed past days sores beginning weep clear fluid it getting extremely painful day,4
ive lot trouble staying hydrated vomiting diarrhea i high fever constipation headache i also starting get strange pain stomach area i cant anything physical,2
my mouth filled sour acidic flavour my burping belching frequent for hours i get pressure fullness upper belly,22
my eyes constantly red runny a persistent tightness sinuses also bothering ive lot difficulties breathing constantly feel fatigued in addition i lot throat mucus inflamed lymph nodes,7
i experiencing constipation stomach ache really difficult the discomfort gotten worse seriously interfering everyday life,2
ive felt really scratchy nauseated worn i also high fever lost weight both skin urine become yellow additionally stomach hurting,16
i facing severe joint pain vomitting i developed skin rash covers entire body accompanied intense itching,5
i rashes skin irritations especially folds skin there also slow healing cuts bruises i skin,23
the skin genitals red inflamed it often itchy burning uncomfortable there rashes different parts body,0
ive recently chills exhaustion cough high temperature breathing issues ive perspiring lot generally feeling weak ill ive quite thick black phlegm my heart racing quite quickly,8
ive high temperature vomiting chills intense itching i also headache perspiring lot my discomfort also brought nausea muscle ache,17
ive feeling really sick ive lot fatigue ive really bad cough throat really sore ive lot sinus pressure nose really congested i feel really run miserable,7
i always feel exhausted bad taste extremely scratchy throat i also muscular pain heat my entire body simply cramps occasionally,19
ive quite constipated lately going restroom excruciatingly uncomfortable ive also observed blood stool anus aggravated,9
only i hunch lie stomach hurt i pain eating certain foods hot acidic food i occasionally get loose stools result,22
ive high fever particularly night its quite unpleasant there little headache well constipation diarrhea i dont feel like eating anything,2
ive feeling really weak muscles neck really stiff my joints swelling ive lot stiffness i move around its also really painful walk,10
i difficulty sleeping due abdominal pain discomfort i loss appetite feel fatigued going bathroom i feel tited time,22
ive experiencing muscular weakness stiffness neck recently my joints swollen creating troublesome behalf run regarding changing stiff walking additionally agonizingly uncomfortable,10
im feeling really sick lost appetite ive seen little red patches arms neck face itch i touch,3
i difficulty breathing especially physical activity i unusual sweating flushing i frequently get yeast infections,23
i metallic taste mouth also sense change taste smell sometimes get unbearable joint pain muscle pain,21
ive recently developed terrible rash skin its riddled blackheads pusfilled pimples my skin also scurrying,11
my emotions fluctuate hard concentrate my mind foggy foggy times making difficult perform even simple chores,23
my skin sensitive reacts easily changes temperature humidity i often careful products i use skin,0
i developed really nasty rash skin there tons blackheads pimples filled pus my skin also really scurrying,11
ive feeling really scratchy dizzy worn in addition ive lost weight temperature my urine dark skin turned yellow additionally i get stomach pain,16
ive feeling really tired sick ive sneezing lot i cant seem get warm im tired head killing and fever really high like im boiling,7
ive pretty uncomfortable itch body well red bumpy areas skin there also certain patches epidermis distinct shade rest ive pimples resemble little balls,6
ive facing visual disruptions seeing things distorted eyesight difficulties,14
extreme itchiness nausea fatigue troubling in moreover i experienced fever lost weight my pee black ive developed yellow rash the ache stomach also present,16
i developed red spots body itchy inflamed i also experiencing high fever along chills shivering,5
i high fever severe itching chills vomiting i also headache perspiring lot my discomfort also brought nausea muscle ache,17
ive itchy throwing ive lost weight also really exhausted my skin become yellow i severe temperature my stomach also hurting,16
i frequently feel want urinate strong cravings i get woozy disoriented lot moreover i lost vision considerably,23
my pee looks cloudy storng foul smell i frequently get urge urinate night getting high temperatures since symptoms strted showing,18
my neck extremely tight muscles feeling extremely weak my joints swollen ive walking around lot stiffness additionally walking extremely uneasy,10
ive itchy throwing in addition i lost weight feel really exhausted my skin become yellow i severe temperature i abdominal ache black urine,16
i experiencing acidity indigestion frequent headaches well blurred distorted vision excessive hunger stiff neck depression irritability visual disturbance,14
i indigestion heartburn i frequently vomit everything i eat hard swallow since food gets caught throat my upper abdomen discomfort,20
